File Name	Object ID	Object size	Object area	Object average color	Object brightness	Center (x, y)
part_2_76.jpg	Deformed_object	25x4	2.0	Deformed_object	Deformed_object	112, 62
part_2_81.jpg	Deformed_object	21x2	4.0	Deformed_object	Deformed_object	245, 174
part_2_82.jpg	Deformed_object	20x4	2.0	Deformed_object	Deformed_object	224, 224
part_2_82.jpg	Deformed_object	21x4	29.0	Deformed_object	Deformed_object	245, 184
part_2_83.jpg	1	10x4	2.0	[16.75     16.390625 16.09375 ]	16.411458333333332	250, 211
part_2_83.jpg	2	18x4	21.0	[8.33984375 7.84375    7.65625   ]	7.946614583333333	63, 173
part_2_84.jpg	Deformed_object	20x2	10.5	Deformed_object	Deformed_object	110, 211
part_2_84.jpg	1	12x4	2.0	[22.29 21.64 21.45]	21.793333333333333	5, 211
part_2_84.jpg	Deformed_object	14x2	2.0	Deformed_object	Deformed_object	23, 205
part_2_86.jpg	Deformed_object	20x2	4.0	Deformed_object	Deformed_object	73, 244
part_2_86.jpg	Deformed_object	17x3	22.0	Deformed_object	Deformed_object	113, 229
part_2_86.jpg	Deformed_object	17x3	22.0	Deformed_object	Deformed_object	57, 201
part_2_90.jpg	Deformed_object	18x3	26.0	Deformed_object	Deformed_object	21, 51
part_2_94.jpg	Deformed_object	19x3	26.0	Deformed_object	Deformed_object	198, 103
part_2_96.jpg	Deformed_object	16x2	3.0	Deformed_object	Deformed_object	193, 103
part_2_93.jpg	Deformed_object	17x2	6.5	Deformed_object	Deformed_object	198, 183
part_2_93.jpg	Deformed_object	42x2	2.0	Deformed_object	Deformed_object	91, 97
part_2_93.jpg	Deformed_object	42x2	16.0	Deformed_object	Deformed_object	91, 94
part_2_95.jpg	Deformed_object	15x2	4.0	Deformed_object	Deformed_object	217, 204
part_2_99.jpg	Deformed_object	17x3	22.0	Deformed_object	Deformed_object	234, 130
part_2_97.jpg	Deformed_object	38x2	15.5	Deformed_object	Deformed_object	33, 73
part_2_101.jpg	Deformed_object	20x3	24.0	Deformed_object	Deformed_object	94, 42
part_2_98.jpg	Deformed_object	32x2	21.0	Deformed_object	Deformed_object	99, 213
part_2_103.jpg	Deformed_object	28x2	13.5	Deformed_object	Deformed_object	217, 4
part_2_102.jpg	Deformed_object	23x3	30.0	Deformed_object	Deformed_object	16, 22
part_2_105.jpg	Deformed_object	17x2	6.0	Deformed_object	Deformed_object	20, 118
part_2_106.jpg	Deformed_object	26x2	8.5	Deformed_object	Deformed_object	119, 245
part_2_106.jpg	Deformed_object	34x4	35.0	Deformed_object	Deformed_object	174, 99
part_2_110.jpg	Deformed_object	21x3	24.0	Deformed_object	Deformed_object	209, 137
part_2_110.jpg	Deformed_object	20x2	4.0	Deformed_object	Deformed_object	164, 132
part_2_109.jpg	Deformed_object	31x2	17.5	Deformed_object	Deformed_object	221, 124
part_2_114.jpg	Deformed_object	19x3	24.0	Deformed_object	Deformed_object	90, 159
part_2_111.jpg	Deformed_object	18x2	6.0	Deformed_object	Deformed_object	137, 46
part_2_111.jpg	Deformed_object	17x2	2.0	Deformed_object	Deformed_object	187, 24
part_2_113.jpg	1	15x4	2.0	[8.15306122 7.17346939 6.75      ]	7.358843537414966	129, 217
part_2_113.jpg	Deformed_object	27x2	16.5	Deformed_object	Deformed_object	209, 153
part_2_112.jpg	1	17x4	22.0	[5.2734375  6.328125   7.08203125]	6.227864583333333	188, 119
part_2_112.jpg	Deformed_object	54x5	13.5	Deformed_object	Deformed_object	226, 88
part_2_112.jpg	Deformed_object	30x4	29.0	Deformed_object	Deformed_object	166, 56
part_2_116.jpg	Deformed_object	32x2	6.0	Deformed_object	Deformed_object	177, 112
part_2_119.jpg	Deformed_object	30x4	32.0	Deformed_object	Deformed_object	226, 138
part_2_115.jpg	Deformed_object	17x2	5.0	Deformed_object	Deformed_object	130, 242
part_2_117.jpg	Deformed_object	18x2	2.0	Deformed_object	Deformed_object	112, 162
part_2_120.jpg	Deformed_object	26x4	33.5	Deformed_object	Deformed_object	201, 134
part_2_125.jpg	Deformed_object	29x4	29.0	Deformed_object	Deformed_object	75, 203
part_3_3.jpg	1	14x4	16.0	[13.48611111 12.08333333 11.55555556]	12.375	74, 246
part_3_4.jpg	Deformed_object	16x2	5.0	Deformed_object	Deformed_object	68, 23
part_3_6.jpg	Deformed_object	12x2	4.0	Deformed_object	Deformed_object	130, 136
part_3_1.jpg	1	8x2	2.5	[20.47222222 24.61111111 28.05555556]	24.37962962962963	18, 214
part_3_1.jpg	2	19x4	2.0	[ 8.15432099  9.58024691 10.77777778]	9.504115226337449	136, 129
part_3_1.jpg	3	13x3	18.0	[8.89583333 8.36805556 8.20138889]	8.488425925925926	226, 115
